,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g2_1,g3_1,g3_2,g4_1,g4_2,g4_3,g4_4,g4_5,g4_6
0,61.0,63.0,10.0,53.0,329.0,25.0,577.0,22.0,28.0,126.0,7490.0,28758.0,13738.0,30548.0,666.0,32.0,25128.0,24788.0,76152.0
1,27.0,37.0,12.0,9.0,78.0,21.0,411.0,13.0,0.0,126.0,2812.0,7050.0,3476.0,4420.0,630.0,16.0,3788.0,4284.0,11040.0
2,196.0,0.0,9.0,43.0,72.0,4.0,72.0,6.0,10.0,17.0,2082.0,7722.0,3552.0,6536.0,1896.0,480.0,6334.0,6060.0,26736.0
3,11.0,83.0,18.0,22.0,134.0,36.0,394.0,62.0,4.0,158.0,3350.0,7830.0,4068.0,6068.0,384.0,0.0,4696.0,3924.0,11640.0
4,275.0,11.0,24.0,116.0,261.0,17.0,126.0,20.0,33.0,53.0,3758.0,9996.0,4472.0,6708.0,84.0,16.0,5376.0,5324.0,17736.0
5,35.0,18.0,12.0,73.0,397.0,21.0,223.0,37.0,28.0,83.0,3780.0,9738.0,5216.0,8456.0,576.0,40.0,6504.0,5976.0,16080.0
6,75.0,54.0,18.0,94.0,418.0,60.0,171.0,32.0,43.0,119.0,4926.0,14172.0,7162.0,12198.0,390.0,32.0,9610.0,9136.0,26496.0
7,49.0,3.0,5.0,18.0,40.0,9.0,14.0,17.0,9.0,15.0,760.0,2268.0,1292.0,2112.0,786.0,128.0,1888.0,1588.0,5112.0
8,103.0,27.0,45.0,21.0,160.0,6.0,75.0,10.0,7.0,26.0,1452.0,2706.0,1982.0,2792.0,1248.0,400.0,1626.0,1368.0,3960.0
9,0.0,8.0,11.0,17.0,109.0,19.0,14.0,19.0,1.0,34.0,548.0,732.0,676.0,856.0,414.0,40.0,522.0,236.0,768.0
10,4.0,76.0,32.0,2.0,126.0,36.0,410.0,46.0,0.0,123.0,2796.0,5598.0,3078.0,3800.0,330.0,16.0,2948.0,2504.0,6768.0
11,331.0,33.0,11.0,129.0,452.0,47.0,185.0,51.0,50.0,76.0,7208.0,24372.0,11892.0,22766.0,1098.0,64.0,18884.0,17988.0,54816.0
12,0.0,23.0,13.0,1.0,18.0,32.0,182.0,33.0,0.0,55.0,920.0,1380.0,1078.0,1270.0,606.0,96.0,828.0,544.0,1416.0
13,10.0,8.0,3.0,1.0,20.0,3.0,80.0,8.0,1.0,20.0,848.0,3954.0,1122.0,1070.0,480.0,24.0,2142.0,2580.0,15792.0
14,117.0,8.0,18.0,23.0,63.0,0.0,12.0,5.0,13.0,8.0,1012.0,2568.0,1552.0,2276.0,984.0,296.0,1800.0,1400.0,5472.0
15,59.0,4.0,3.0,19.0,69.0,3.0,72.0,1.0,1.0,25.0,1178.0,4476.0,1346.0,1546.0,312.0,136.0,2198.0,2724.0,14616.0
16,41.0,11.0,22.0,17.0,65.0,11.0,22.0,15.0,9.0,12.0,826.0,2514.0,1518.0,3096.0,1188.0,328.0,2218.0,1904.0,5688.0
17,117.0,8.0,18.0,23.0,63.0,0.0,12.0,5.0,13.0,8.0,1012.0,2568.0,1552.0,2276.0,984.0,296.0,1800.0,1400.0,5472.0
18,61.0,0.0,12.0,21.0,9.0,2.0,0.0,8.0,13.0,0.0,462.0,1566.0,646.0,944.0,282.0,88.0,918.0,884.0,4800.0
19,1.0,0.0,9.0,5.0,73.0,4.0,137.0,5.0,4.0,13.0,1260.0,4896.0,1606.0,2108.0,516.0,392.0,2408.0,2880.0,16056.0
20,307.0,20.0,33.0,104.0,310.0,45.0,81.0,42.0,45.0,50.0,4294.0,11736.0,5704.0,8598.0,492.0,16.0,7232.0,6844.0,21600.0
21,103.0,6.0,17.0,21.0,125.0,0.0,65.0,2.0,4.0,20.0,1438.0,3378.0,2246.0,3444.0,2064.0,656.0,2154.0,1780.0,6312.0
22,5.0,34.0,17.0,11.0,208.0,15.0,120.0,18.0,4.0,75.0,1386.0,1998.0,1532.0,1834.0,570.0,176.0,1020.0,840.0,1680.0
23,40.0,5.0,10.0,17.0,86.0,4.0,73.0,1.0,11.0,10.0,946.0,2118.0,1204.0,1610.0,588.0,280.0,1380.0,976.0,3024.0
24,55.0,16.0,3.0,31.0,98.0,11.0,233.0,15.0,5.0,53.0,1918.0,4518.0,2572.0,3662.0,810.0,176.0,3044.0,2648.0,7656.0
25,5.0,7.0,12.0,1.0,8.0,7.0,11.0,6.0,2.0,11.0,332.0,1962.0,1116.0,3650.0,1152.0,192.0,3374.0,2976.0,8448.0
26,10.0,8.0,3.0,1.0,20.0,3.0,80.0,8.0,1.0,20.0,848.0,3954.0,1122.0,1070.0,480.0,24.0,2142.0,2580.0,15792.0
27,51.0,18.0,30.0,30.0,153.0,15.0,133.0,24.0,10.0,46.0,1584.0,3450.0,1912.0,2188.0,990.0,232.0,1880.0,1900.0,5664.0
28,63.0,10.0,15.0,26.0,206.0,15.0,269.0,16.0,7.0,55.0,2474.0,5844.0,2830.0,3582.0,690.0,136.0,2964.0,2836.0,9936.0
29,153.0,57.0,10.0,49.0,347.0,35.0,242.0,33.0,19.0,145.0,4838.0,13026.0,6864.0,11222.0,540.0,32.0,8634.0,7960.0,21792.0
30,0.0,10.0,15.0,2.0,29.0,2.0,108.0,4.0,0.0,14.0,636.0,1500.0,940.0,1430.0,642.0,160.0,1018.0,764.0,2808.0
31,4.0,4.0,9.0,1.0,29.0,1.0,51.0,1.0,0.0,21.0,364.0,912.0,286.0,208.0,108.0,88.0,260.0,356.0,1776.0
32,49.0,3.0,5.0,18.0,40.0,9.0,14.0,17.0,9.0,15.0,760.0,2268.0,1292.0,2112.0,786.0,128.0,1888.0,1588.0,5112.0
33,265.0,0.0,16.0,63.0,10.0,16.0,0.0,12.0,43.0,1.0,1734.0,4956.0,3346.0,7492.0,3330.0,360.0,5620.0,4280.0,11232.0
34,145.0,3.0,13.0,34.0,105.0,11.0,17.0,17.0,14.0,12.0,1204.0,2304.0,1552.0,2154.0,486.0,96.0,1478.0,1152.0,2712.0
35,35.0,17.0,44.0,28.0,129.0,17.0,80.0,22.0,19.0,33.0,1068.0,1836.0,1384.0,1888.0,1308.0,336.0,1128.0,872.0,2496.0
36,103.0,6.0,17.0,21.0,125.0,0.0,65.0,2.0,4.0,20.0,1438.0,3378.0,2246.0,3444.0,2064.0,656.0,2154.0,1780.0,6312.0
37,141.0,17.0,29.0,37.0,143.0,13.0,83.0,29.0,26.0,29.0,1872.0,4722.0,2278.0,3628.0,1548.0,368.0,2370.0,2164.0,11544.0
38,61.0,0.0,12.0,21.0,9.0,2.0,0.0,8.0,13.0,0.0,462.0,1566.0,646.0,944.0,282.0,88.0,918.0,884.0,4800.0
39,79.0,5.0,1.0,24.0,238.0,7.0,252.0,0.0,1.0,120.0,2890.0,6492.0,3858.0,6270.0,504.0,56.0,4072.0,3736.0,8424.0
40,30.0,4.0,11.0,71.0,302.0,12.0,0.0,9.0,24.0,22.0,1202.0,1272.0,1286.0,1496.0,618.0,120.0,614.0,412.0,672.0
41,0.0,12.0,11.0,9.0,70.0,13.0,27.0,15.0,5.0,21.0,522.0,1140.0,666.0,836.0,306.0,40.0,678.0,616.0,2592.0
42,84.0,5.0,6.0,46.0,138.0,29.0,8.0,2.0,3.0,12.0,1358.0,3492.0,2004.0,3324.0,1608.0,400.0,2566.0,1812.0,7440.0
43,617.0,17.0,19.0,187.0,187.0,28.0,0.0,21.0,55.0,51.0,5696.0,17100.0,8290.0,14380.0,384.0,24.0,11428.0,11072.0,32328.0
44,275.0,11.0,24.0,116.0,261.0,17.0,126.0,20.0,33.0,53.0,3758.0,9996.0,4472.0,6708.0,84.0,16.0,5376.0,5324.0,17736.0
45,132.0,0.0,1.0,54.0,4.0,6.0,0.0,0.0,4.0,0.0,598.0,810.0,680.0,864.0,372.0,64.0,398.0,296.0,576.0
46,104.0,0.0,8.0,57.0,128.0,17.0,0.0,10.0,36.0,0.0,1036.0,1704.0,1352.0,1862.0,840.0,184.0,1092.0,844.0,1800.0
47,152.0,3.0,7.0,97.0,237.0,8.0,4.0,6.0,10.0,33.0,1900.0,3810.0,2364.0,3324.0,1308.0,248.0,2400.0,1812.0,4680.0
48,0.0,4.0,4.0,7.0,59.0,16.0,18.0,6.0,4.0,24.0,518.0,1302.0,688.0,998.0,414.0,8.0,784.0,676.0,2256.0
49,14.0,14.0,27.0,14.0,62.0,4.0,37.0,15.0,8.0,15.0,642.0,1626.0,894.0,1212.0,300.0,112.0,956.0,1036.0,3744.0
50,122.0,10.0,5.0,66.0,196.0,24.0,3.0,13.0,26.0,23.0,1448.0,2172.0,1954.0,2718.0,1050.0,168.0,1540.0,1128.0,1896.0
51,307.0,20.0,33.0,104.0,310.0,45.0,81.0,42.0,45.0,50.0,4294.0,11736.0,5704.0,8598.0,492.0,16.0,7232.0,6844.0,21600.0
52,26.0,14.0,13.0,8.0,79.0,5.0,142.0,2.0,3.0,24.0,1246.0,3006.0,2148.0,3958.0,1872.0,568.0,2508.0,1852.0,6048.0
53,4.0,76.0,32.0,2.0,126.0,36.0,410.0,46.0,0.0,123.0,2796.0,5598.0,3078.0,3800.0,330.0,16.0,2948.0,2504.0,6768.0
54,224.0,0.0,23.0,68.0,9.0,4.0,0.0,12.0,8.0,0.0,1154.0,2562.0,1514.0,2198.0,774.0,232.0,1422.0,1304.0,4704.0
55,10.0,0.0,4.0,3.0,4.0,3.0,0.0,6.0,4.0,0.0,58.0,102.0,48.0,28.0,12.0,16.0,36.0,68.0,96.0
56,30.0,4.0,11.0,71.0,302.0,12.0,0.0,9.0,24.0,22.0,1202.0,1272.0,1286.0,1496.0,618.0,120.0,614.0,412.0,672.0
57,122.0,15.0,38.0,44.0,166.0,11.0,65.0,26.0,31.0,22.0,1894.0,5076.0,2400.0,3348.0,912.0,200.0,2820.0,2960.0,11208.0
58,238.0,11.0,24.0,38.0,87.0,1.0,32.0,2.0,18.0,7.0,1458.0,2442.0,2014.0,3076.0,1278.0,352.0,1624.0,1192.0,3048.0
59,33.0,15.0,5.0,53.0,256.0,20.0,132.0,3.0,24.0,65.0,2134.0,4434.0,2508.0,3508.0,1026.0,48.0,2590.0,2096.0,5664.0
60,122.0,10.0,5.0,66.0,196.0,24.0,3.0,13.0,26.0,23.0,1448.0,2172.0,1954.0,2718.0,1050.0,168.0,1540.0,1128.0,1896.0
61,57.0,58.0,22.0,22.0,278.0,27.0,589.0,24.0,0.0,186.0,6350.0,19602.0,10066.0,18544.0,408.0,8.0,14468.0,13796.0,38112.0
62,0.0,70.0,5.0,10.0,97.0,39.0,616.0,11.0,0.0,192.0,4816.0,14868.0,6410.0,10352.0,258.0,8.0,8872.0,9132.0,32568.0
63,166.0,46.0,23.0,74.0,250.0,51.0,126.0,63.0,64.0,71.0,3426.0,8478.0,4070.0,5346.0,372.0,40.0,4648.0,4324.0,14064.0
64,45.0,0.0,3.0,10.0,22.0,0.0,20.0,1.0,2.0,4.0,576.0,2652.0,550.0,588.0,114.0,72.0,912.0,1124.0,10344.0
65,191.0,38.0,16.0,94.0,310.0,37.0,389.0,50.0,48.0,84.0,6092.0,18576.0,9282.0,16120.0,972.0,8.0,13356.0,12304.0,36312.0
66,84.0,5.0,6.0,46.0,138.0,29.0,8.0,2.0,3.0,12.0,1358.0,3492.0,2004.0,3324.0,1608.0,400.0,2566.0,1812.0,7440.0
67,132.0,0.0,1.0,25.0,4.0,1.0,0.0,0.0,3.0,0.0,394.0,282.0,512.0,638.0,270.0,32.0,258.0,60.0,72.0
68,3.0,14.0,28.0,7.0,53.0,7.0,132.0,18.0,2.0,26.0,1032.0,2796.0,1498.0,2242.0,834.0,272.0,1956.0,1620.0,6120.0
69,224.0,0.0,23.0,68.0,9.0,4.0,0.0,12.0,8.0,0.0,1154.0,2562.0,1514.0,2198.0,774.0,232.0,1422.0,1304.0,4704.0
70,135.0,32.0,7.0,21.0,161.0,33.0,531.0,21.0,8.0,100.0,5104.0,15966.0,8324.0,17874.0,816.0,0.0,13406.0,11420.0,33072.0
71,0.0,12.0,8.0,0.0,16.0,56.0,47.0,42.0,0.0,44.0,350.0,336.0,318.0,244.0,144.0,48.0,160.0,96.0,288.0
72,0.0,19.0,19.0,4.0,74.0,14.0,115.0,14.0,2.0,44.0,1020.0,2346.0,1506.0,2166.0,936.0,256.0,1672.0,1256.0,4632.0
73,28.0,3.0,11.0,13.0,116.0,4.0,29.0,5.0,7.0,10.0,962.0,3006.0,1570.0,2420.0,1074.0,200.0,2290.0,2020.0,8616.0
74,160.0,9.0,2.0,29.0,53.0,15.0,3.0,0.0,3.0,2.0,1420.0,5052.0,2392.0,4418.0,1506.0,168.0,3892.0,3448.0,14808.0
75,46.0,4.0,2.0,17.0,130.0,3.0,339.0,0.0,0.0,69.0,2142.0,4806.0,2060.0,2406.0,750.0,200.0,2080.0,2052.0,6840.0
76,180.0,9.0,28.0,54.0,151.0,17.0,58.0,27.0,23.0,22.0,1770.0,3792.0,1834.0,2062.0,684.0,224.0,1754.0,1684.0,5352.0
77,162.0,57.0,11.0,133.0,350.0,68.0,173.0,45.0,51.0,109.0,5390.0,16020.0,7994.0,13866.0,654.0,40.0,11390.0,10508.0,31104.0
78,95.0,20.0,25.0,36.0,149.0,15.0,127.0,21.0,11.0,30.0,1822.0,4458.0,2464.0,3840.0,1566.0,376.0,2918.0,2632.0,8400.0
79,42.0,6.0,19.0,19.0,91.0,3.0,61.0,12.0,11.0,14.0,1082.0,2916.0,1776.0,2888.0,1182.0,624.0,1932.0,1736.0,6600.0
80,215.0,3.0,9.0,60.0,73.0,9.0,22.0,5.0,9.0,2.0,1626.0,4764.0,2174.0,3164.0,816.0,288.0,2906.0,2964.0,12216.0
81,136.0,8.0,1.0,49.0,276.0,0.0,268.0,0.0,0.0,68.0,3348.0,8250.0,4166.0,6104.0,276.0,56.0,4676.0,4608.0,12600.0
82,16.0,22.0,13.0,35.0,355.0,72.0,56.0,11.0,18.0,78.0,2538.0,4794.0,3996.0,6518.0,1368.0,720.0,3638.0,3260.0,4512.0
83,87.0,11.0,15.0,90.0,235.0,13.0,7.0,13.0,30.0,26.0,1720.0,3396.0,2114.0,2978.0,1062.0,288.0,2002.0,1568.0,4224.0
84,10.0,38.0,13.0,5.0,233.0,32.0,349.0,16.0,0.0,154.0,3058.0,6558.0,3380.0,4342.0,126.0,8.0,3372.0,3204.0,8256.0
85,24.0,24.0,6.0,44.0,187.0,26.0,61.0,28.0,10.0,68.0,1388.0,2736.0,1478.0,1718.0,744.0,120.0,1316.0,1152.0,4128.0
86,176.0,12.0,36.0,64.0,137.0,27.0,68.0,30.0,28.0,13.0,1642.0,3054.0,1780.0,2160.0,672.0,168.0,1496.0,1228.0,4320.0
87,0.0,45.0,8.0,0.0,0.0,24.0,231.0,17.0,0.0,66.0,944.0,990.0,1172.0,1422.0,714.0,224.0,628.0,348.0,552.0
88,104.0,0.0,8.0,57.0,128.0,17.0,0.0,10.0,36.0,0.0,1036.0,1704.0,1352.0,1862.0,840.0,184.0,1092.0,844.0,1800.0
89,399.0,61.0,2.0,158.0,395.0,59.0,152.0,43.0,57.0,102.0,7762.0,25818.0,13344.0,26160.0,1098.0,16.0,20928.0,19512.0,55488.0
90,352.0,0.0,34.0,36.0,1.0,5.0,0.0,0.0,37.0,0.0,1506.0,2736.0,2452.0,4328.0,2100.0,472.0,2286.0,1652.0,3672.0
91,0.0,25.0,1.0,0.0,0.0,14.0,432.0,0.0,0.0,110.0,1986.0,3624.0,2394.0,3508.0,276.0,16.0,2232.0,1728.0,3576.0
92,42.0,6.0,19.0,19.0,91.0,3.0,61.0,12.0,11.0,14.0,1082.0,2916.0,1776.0,2888.0,1182.0,624.0,1932.0,1736.0,6600.0
93,90.0,21.0,27.0,18.0,126.0,12.0,157.0,27.0,18.0,33.0,1926.0,5724.0,2332.0,3566.0,1296.0,200.0,3310.0,3252.0,14184.0
94,57.0,4.0,23.0,26.0,37.0,26.0,0.0,25.0,23.0,0.0,394.0,504.0,338.0,282.0,114.0,0.0,196.0,172.0,576.0
95,297.0,0.0,20.0,35.0,108.0,11.0,0.0,13.0,43.0,0.0,1818.0,4176.0,2144.0,2642.0,666.0,192.0,2124.0,2172.0,6864.0
96,24.0,90.0,16.0,40.0,169.0,51.0,330.0,59.0,17.0,148.0,3558.0,8526.0,4522.0,6830.0,378.0,16.0,5218.0,4748.0,13776.0
97,555.0,0.0,14.0,153.0,124.0,41.0,0.0,38.0,71.0,2.0,4112.0,10596.0,5350.0,7922.0,324.0,0.0,6410.0,6124.0,17424.0
98,446.0,80.0,4.0,139.0,520.0,48.0,194.0,27.0,26.0,128.0,9866.0,36666.0,18852.0,41364.0,1644.0,120.0,32784.0,30872.0,87432.0
99,28.0,28.0,4.0,6.0,183.0,8.0,153.0,7.0,0.0,89.0,1606.0,2790.0,2050.0,2826.0,1368.0,288.0,1690.0,1352.0,2880.0
100,0.0,0.0,4.0,1.0,12.0,5.0,8.0,3.0,1.0,7.0,36.0,18.0,22.0,14.0,0.0,0.0,10.0,4.0,0.0
101,0.0,12.0,11.0,1.0,18.0,23.0,123.0,20.0,0.0,39.0,788.0,1764.0,1162.0,1728.0,606.0,120.0,1242.0,1052.0,3120.0
102,153.0,15.0,17.0,44.0,175.0,14.0,359.0,17.0,23.0,83.0,3768.0,10434.0,4690.0,6882.0,240.0,16.0,5952.0,5696.0,20136.0
103,78.0,34.0,36.0,38.0,247.0,43.0,295.0,39.0,16.0,68.0,3558.0,9072.0,5016.0,7848.0,858.0,216.0,6034.0,5396.0,15192.0
104,75.0,8.0,10.0,71.0,499.0,39.0,611.0,21.0,61.0,118.0,9510.0,37572.0,18870.0,45024.0,732.0,88.0,34928.0,33900.0,97008.0
105,0.0,6.0,1.0,0.0,0.0,0.0,108.0,0.0,0.0,38.0,426.0,720.0,352.0,462.0,240.0,88.0,296.0,120.0,840.0
106,79.0,5.0,1.0,24.0,238.0,7.0,250.0,0.0,1.0,121.0,2900.0,6534.0,3914.0,6398.0,612.0,80.0,4120.0,3784.0,8496.0
107,346.0,31.0,10.0,108.0,312.0,27.0,209.0,41.0,15.0,82.0,5460.0,15948.0,7740.0,12840.0,354.0,0.0,10252.0,10132.0,30264.0
108,2.0,63.0,27.0,9.0,120.0,42.0,446.0,37.0,3.0,164.0,3380.0,7824.0,4092.0,5740.0,402.0,8.0,4386.0,4156.0,11328.0
109,59.0,56.0,21.0,29.0,285.0,54.0,300.0,48.0,13.0,121.0,3846.0,9114.0,5014.0,7434.0,504.0,8.0,5618.0,5136.0,12960.0
110,44.0,17.0,13.0,20.0,96.0,10.0,169.0,11.0,11.0,37.0,1404.0,2868.0,1682.0,2070.0,822.0,272.0,1590.0,1220.0,4296.0
111,7.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,1.0,14.0,29.0,15.0,99.0,19.0,50.0,34.0,6.0,26.0,588.0,714.0,624.0,668.0,330.0,48.0,406.0,212.0,480.0
113,0.0,32.0,21.0,0.0,4.0,45.0,200.0,11.0,0.0,101.0,1036.0,1296.0,1166.0,1514.0,432.0,32.0,858.0,468.0,816.0
114,145.0,7.0,43.0,26.0,126.0,11.0,128.0,16.0,5.0,23.0,1610.0,3012.0,2226.0,3382.0,1632.0,552.0,1930.0,1444.0,4152.0
115,200.0,8.0,23.0,52.0,181.0,5.0,99.0,12.0,3.0,33.0,2486.0,6042.0,3722.0,6012.0,1788.0,632.0,4152.0,3552.0,10032.0
116,215.0,3.0,9.0,60.0,73.0,9.0,22.0,5.0,9.0,2.0,1626.0,4764.0,2174.0,3164.0,816.0,288.0,2906.0,2964.0,12216.0
117,123.0,28.0,17.0,108.0,204.0,35.0,5.0,29.0,25.0,32.0,1844.0,3528.0,1978.0,2420.0,552.0,120.0,1840.0,1496.0,4176.0
118,207.0,9.0,8.0,35.0,90.0,11.0,68.0,12.0,15.0,31.0,1756.0,3942.0,2146.0,3576.0,1266.0,352.0,2254.0,1584.0,6432.0
119,238.0,11.0,24.0,38.0,87.0,1.0,32.0,2.0,18.0,7.0,1458.0,2442.0,2014.0,3076.0,1278.0,352.0,1624.0,1192.0,3048.0
120,33.0,32.0,25.0,34.0,117.0,24.0,83.0,28.0,35.0,68.0,1624.0,4410.0,2688.0,5064.0,2004.0,536.0,3834.0,3284.0,10656.0
